주_도_성,국가_지역,위도,경도,발생일시,확진자,사망자,완치자,격리중,WHO보건지역,cluster,c
Ningxia,China,37.2692,106.1655,2020-07-27,75,0,75,0,Western Pacific,1,blue
Qinghai,China,35.7452,95.9956,2020-07-27,18,0,18,0,Western Pacific,1,blue
Shaanxi,China,35.1917,108.8701,2020-07-27,323,3,318,2,Western Pacific,1,blue
Shandong,China,36.3427,118.1498,2020-07-27,799,7,785,7,Western Pacific,1,blue
Shanghai,China,31.202,121.4491,2020-07-27,743,7,718,18,Western Pacific,1,blue
Shanxi,China,37.5777,112.2922,2020-07-27,201,0,201,0,Western Pacific,1,blue
Sichuan,China,30.6171,102.7103,2020-07-27,604,3,595,6,Western Pacific,1,blue
Tianjin,China,39.3054,117.323,2020-07-27,204,3,195,6,Western Pacific,1,blue
Tibet,China,31.6927,88.0924,2020-07-27,1,0,1,0,Western Pacific,1,blue
Xinjiang,China,41.1129,85.2401,2020-07-27,311,3,73,235,Western Pacific,1,blue
Yunnan,China,24.974,101.487,2020-07-27,190,2,186,2,Western Pacific,1,blue
Zhejiang,China,29.1832,120.0934,2020-07-27,1270,1,1268,1,Western Pacific,1,blue
,Colombia,4.5709,-74.2973,2020-07-27,257101,8777,131161,117163,Americas,0,red
,Congo (Brazzaville),-0.228,15.8277,2020-07-27,3200,54,829,2317,Africa,0,red
,Congo (Kinshasa),-4.0383,21.7587,2020-07-27,8844,208,5700,2936,Africa,1,blue
,Costa Rica,9.7489,-83.7534,2020-07-27,15841,115,3824,11902,Americas,0,red
,Cote d'Ivoire,7.54,-5.5471,2020-07-27,15655,96,10361,5198,Africa,0,red
,Croatia,45.1,15.2,2020-07-27,4881,139,3936,806,Europe,0,red
,Cuba,21.521757,-77.78116700000002,2020-07-27,2532,87,2351,94,Americas,0,red
,Cyprus,35.1264,33.4299,2020-07-27,1060,19,852,189,Europe,1,blue
,Czechia,49.8175,15.473,2020-07-27,15516,373,11428,3715,Europe,0,red
Faroe Islands,Denmark,61.8926,-6.9118,2020-07-27,214,0,188,26,Europe,0,red
Greenland,Greenland,71.7069,-42.6043,2020-07-27,14,0,13,1,Europe,0,red
,Denmark,56.2639,9.5018,2020-07-27,13547,613,12417,517,Europe,0,red
,Djibouti,11.8251,42.5903,2020-07-27,5059,58,4977,24,Eastern Mediterranean,1,blue
,Dominican Republic,18.7357,-70.1627,2020-07-27,64156,1083,30204,32869,Americas,0,red
,Ecuador,-1.8312,-78.1834,2020-07-27,81161,5532,34896,40733,Americas,0,red
,Egypt,26.820553000000004,30.802498,2020-07-27,92482,4652,34838,52992,Eastern Mediterranean,1,blue
,El Salvador,13.7942,-88.8965,2020-07-27,15035,408,7778,6849,Americas,0,red
,Equatorial Guinea,1.6508,10.2679,2020-07-27,3071,51,842,2178,Africa,0,red
,Eritrea,15.1794,39.7823,2020-07-27,265,0,191,74,Africa,1,blue
,Estonia,58.5953,25.0136,2020-07-27,2034,69,1923,42,Europe,1,blue
,Eswatini,-26.5225,31.4659,2020-07-27,2316,34,1025,1257,Africa,1,blue
,Ethiopia,9.145,40.4897,2020-07-27,14547,228,6386,7933,Africa,1,blue
,Fiji,-17.7134,178.065,2020-07-27,27,0,18,9,Western Pacific,1,blue
,Finland,61.92411,25.748151,2020-07-27,7398,329,6920,149,Europe,1,blue
French Guiana,France,3.9339,-53.1258,2020-07-27,7514,42,6047,1425,Europe,0,red
French Polynesia,France,-17.6797,149.4068,2020-07-27,62,0,60,2,Europe,1,blue
Guadeloupe,France,16.265,-61.551,2020-07-27,203,14,176,13,Europe,0,red
Mayotte,France,-12.8275,45.166244,2020-07-27,2900,38,2672,190,Europe,1,blue
New Caledonia,France,-20.904305,165.618042,2020-07-27,22,0,22,0,Europe,1,blue
Reunion,France,-21.1151,55.5364,2020-07-27,657,4,592,61,Europe,1,blue
Saint Barthelemy,France,17.9,-62.8333,2020-07-27,7,0,6,1,Europe,0,red
St Martin,France,18.0708,-63.0501,2020-07-27,49,3,41,5,Europe,0,red
Martinique,France,14.6415,-61.0242,2020-07-27,269,15,98,156,Europe,0,red
,France,46.2276,2.2137,2020-07-27,208665,30096,71497,107072,Europe,0,red
,Gabon,-0.8037,11.6094,2020-07-27,7189,49,4682,2458,Africa,0,red
,Gambia,13.4432,-15.3101,2020-07-27,326,8,66,252,Africa,0,red
,Georgia,42.3154,43.3569,2020-07-27,1137,16,922,199,Europe,1,blue
